pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
33065208,?18 years,mixed,Stage IV MBC,"(a) receiving treatment for Stage IV MBC; (b) age ? 18; (c) had a life expectancy ? 9 months as estimated by their treating oncologist; (d) could speak and read English. Exclusion criteria were: (a) cognitive impairment as assessed by the 6-item Mini-Mental Status Exam; (b) Eastern Cooperative Oncology Group (ECOG) rating of ? 3 or Karnofsky Performance Status (KPS) < 60 as rated by the oncology provider; (c) treatment for serious psychiatric illness (e.g., schizophrenia, severe depression) in the past 6 months; (d) current engagement in yoga practice ? 1 day per week; and (e) resting systolic blood pressure > 180mm and/or diastolic blood pressure > 100 mm, or resting heart rate > 100 beats per minute at the baseline assessment.",48 patients,32,16,,,"Yoga (meditation, breathing, and postures)",,Mindful Yoga,social support,nonspecific treatment effects,,,,"baseline pain (yoga M = 2.36, SD = 1.70; control M = 1.42, SD = 1.14); acutely improved pain predicted by relatively more total time over the two preceding days spent in meditation and breathing practices","diary completion rate: 71% (mean), 54% (including incomplete diaries); total practice time: 40.78 minutes (S.D. = 17.49) per day; class attendance strongly and positively correlated with total practice rates (r = .75, Pearson two-tailed)",,,,,,,,,,,,,,,,
33052757,? 18 years,not specified,"Screening-deficient African Americans with stage III-IV squamous cell carcinoma of the oropharynx, hypopharynx, or larynx","Patients with T3-T4 tumors stratified by study center, tumor site (oropharynx v nonoropharynx), T stage (1-2 v 3-4), and WHO/ECOG performance status (0 v 1-2); patients with oral cavity cancer who had unresectable disease or were otherwise not amenable for surgery; adequate renal, bone marrow, and liver function required; exclusion of severe cardiac illness, previous malignancies, pre-existing hearing loss, or pre-existing peripheral neuropathy; potential pregnancy excluded in women of childbearing age",618,614,4,cisplatin,Neck dissection,,gain or loss-framed message about screening, culturally targeted message about overcoming racial disparities in CRC by obtaining screening,,standard radiation dose of 68.0 Gy and 73.1 Gy to the primary tumor,cisplatin,"Four deaths occurred, two within 30 days after finished treatment in the cisplatin group and one in the cetuximab group.","Hypersensitivity reactions (n = 9), rash, infection (n = 5 each) in cetuximab group; hematologic and renal toxicity (n = 27, n = 19 respectively) in cisplatin group. Predefined acute adverse events grade 3-4: nausea, vomiting, acute kidney injury, neutropenia, tinnitus, dysphagia in cisplatin group; mucositis, skin reactions, acneiform rashes in cetuximab group. Not predefined adverse events grade 3-4 occurred in at least 5% of patients.",CRC screening receptivity and behavior,"Median total RT treatment time was 46 days in both treatment groups. 89% of patients received RT per protocol or with acceptable deviations. Late adverse events differing significantly between treatment groups: pain, taste alteration, oral mucosa status, hearing impairment. No significant difference in mean raw A scores.",,,,,,,,,,,,,,,,
33044435,34.6 ± 6.8 years,premenopausal women,"healthy, elevated risk of breast cancer","eumenorrheic, non-smokers, BMI 18-50 kg/m^2, > 18% lifetime risk of developing breast cancer according to Gail or Claus prediction models, known deleterious mutation (e.g. BRCA1 or BRCA2) or documentation of a family member with the mutation, >= 75 min of aerobic exercise per week",125,39,47,ribociclib plus fulvestrant,,"aerobic exercise training at 65-80% of age predicted maximum heart rate; LOW dose group completed 150 min·week?, progressing to HIGH dose group which increased by 20–25 minutes every two weeks until reaching 300 minutes per week",in-person orientation on the exercise intervention,,,normal distribution,cancer mortality risk reduction,,,"VO2max responses: CONT (n=35, 74.5%), LOW (n=11, 28.2%), HIGH (n=2, 5.1%); P<0.01",p-value for difference in cancer mortality risk reduction between HIGH and LOW dose groups is 0.43,,,,,,,,,,,,,,,,
33037989,45.1 years (range 20.2–54.8),not specified,stage IA-IIIB EGFR-mutant non-small-cell lung cancer, completely resected,Patients with surgically resected disease,41,123,456,,,"submaximal exercise testing, complimentary access to Fitbit Flex wearable wristband and mHealth app, diet tracking app (Healthwatch360), smartphone-based smoking cessation app (iCanQuit)","private, invitation-only study-specific Facebook group",survivorship care counseling,"questionnaire, food frequency questionnaire (FFQ), triaxial accelerometer",standard-of-care adjuvant therapy,recurrence rate at 2 years from randomization,Side effects,2-year recurrence-free survival (RFS) rates,,,,,,,,,,,,,,,,,
33025372,not specified in this chunk,female patients,"breast cancer (78.94%), digestive cancer (5.26%)",not specified in this chunk,80 subjects,0,0,psychotropic,,,,mindfulness-based intervention,,Wait-list control group,"incidence of grade 3/4 neutropenia and leukopenia, overall survival (OS) and progression-free survival (PFS)",,"?SE (change in self-esteem), ?ED (change in emotional distress)",,,,,,,,,,,,,,,,,,
38123789,at least 18 years,"both postmenopausal and premenopausal patients; in Study B, premenopausal patients under ovarian suppression","HR+ and HER2- breast cancer with bone-dominant disease and at least two skeletal metastases, not amenable to curative treatment with surgery or radiotherapy","34 participants with above condition, prior hormonal therapy in metastatic setting, no chemotherapy for life-threatening visceral disease, eligible for selective estrogen receptor modulators, steroidal or nonsteroidal aromatase inhibitors, fulvestrant (Study A), exemestane + everolimus (Study B), no prior chemotherapy for metastatic disease, systemic or hemibody external radiotherapy; palliative radiotherapy to bone permitted","227 (Study A), 311 (Study B)",191 (radium-223 + endocrine therapy) and 191 (placebo + endocrine therapy),not applicable (open-label studies),Radium-223 dichloride,tumor-related orthopedic surgical intervention,,,,"Endocrine therapy (tamoxifen, anastrozole, letrozole, fulvestrant, exemestane), everolimus, bone health agents (bisphosphonates or denosumab)",placebo,,,"functional scales and physical, occupational, and cognitive function scores of the intervention group were higher than those of the control group (P < 0.05) on postoperative 40th day","body composition, food consumption, nutritional risk score (NRS)-2002, quality of life, biochemical parameters, complications, antibiotic use, and length of hospital stay (LOS)",,,,,,,,,,,,,,,,,
38110544,randomized by age,,1200 patients with metastatic castration-resistant prostate cancer (mCRPC), post-docetaxel,"surgery with curative intent; allocated operation date allowing baseline assessment, 10 or more HIIT sessions and reassessment within 72 h before operation; medical screening against pre-defined inclusion and exclusion criteria including safety criteria as defined in ATS/ACCP cardiopulmonary exercise test (CPET) guidelines",1200,600,300,cabazitaxel,,,,,,no-intervention,,No adverse events,,"HIIT significantly increased the phosphorylation of AS160Thr642 (p = 0.046), no other anabolic or catabolic protein markers changed in HIIT or control groups following the intervention (all p > 0.05)",,,,,,,,,,,,,,,,
38104066,aged 30-65,,lung cancer,(1) moderate to severe pulmonary insufficiency preoperatively, (2) FEV1 < 50% or temperature > 37.5oC and antioxidant agents intake, (3) pacemaker fitted, (4) acupoint stimulation or acupuncture received, (5) stimulation site infected or injured,80,40,40,"sufentanil 0.3 ?g/kg, midazolam 0.05 mg/kg, etomidate 0.3 mg/kg, rocuronium 1.0 mg/kg, sevoflurane, remifentanil, ephedrine hydrochloride 6 mg, Urapidil hydrochloride (0.10–0.15 mg/kg), atropine sulfate 0.2 mg",thoracoscopic pulmonary lobectomy,,web-based Reproductive Health Survivorship Care Plan (SCP-R),,TEAS procedure,sham group,,trauma at the target acupoint stimulation site,,,no adverse events reported,,,,,,,,,,,,
38102816,older than 18 years,mixed,NSCLC,(a) patients diagnosed with NSCLC, (b) having received chemotherapy treatment, (c) age older than 18 years, (d) having a score of >29 on the Chinese Perceived Stress Scale (CPSS), (e) having a score of ?1 on Eastern Cooperative Oncology Group (ECOG), (f) an estimated life expectancy of at least 6 months, and (g) having agreed to participate in this study.,762 participants,381,381,atezolizumab plus chemotherapy,,6-minute walk test (6 MWT),"routine education including admission and discharge instructions, information about lung cancer, dietary management, general principles of physical activity","health counseling, Positive Psychological Capital Questionnaire (PPQ) with self-efficacy, resilience, hope, optimism dimensions rated on a 7-point Likert scale","ICI (immune checkpoint inhibitors), Laughter Yoga",chemotherapy,OS (Overall Survival),,CPSS score,"large effect size (Cohen's d = 1.087), t = ?4.863, P < .001",,,,,,,,,,,
38102530,18 years or older,"adult females; demographics: White/non-Hispanic (78.2%), Black/Hispanic (21.7%)",unilateral breast cancer-related lymphedema (BCRL),"no use of pneumatic compression devices (PCD) in the previous 3 months, no phase 1 complete decompression therapy (CDT) within 1 month or planned during study period, not currently undergoing curative cancer therapy, able to receive text messages from study sponsor, no heart failure, acute venous disease, active skin or limb infection or inflammatory disease, pregnancy or planning to become pregnant, conditions where increased lymphatic or venous return is undesirable, ability to be fitted for PCD garments, cell phone connection available","23 participants (12 test, 11 control)",PCD therapy with connectivity (test),PCD therapy without connectivity (control),lenvatinib+pembrolizumab, paclitaxel+carboplatin,,PCD therapy with connectivity (test) and PCD therapy without connectivity (control),device training,,PCD therapy with connectivity (test) and PCD therapy without connectivity (control),PCD therapy without connectivity and text message reminders,,safety,"LYMQOL ARM questionnaire scores: overall quality of life (p=0.004), functional domain (p=0.027), symptom domain (p=0.006), mood domain (p=0.009); LSIDS-A results (Table 5): overall score improved significantly at both timepoints, as did the neurological sensation domain score; soft tissue sensation domain and behavioral domain scores were significantly improved at the 60-day follow-up (p=0.010, and p=0.044, respectively); SF-36 scores: pain domain statistically significant improvement at 30-day (p=0.042) and 60-day (p=0.009)",,"Compliance: Improvements in the overall score for the LYMQOL-ARM questionnaire at 60-days were observed in 70% (7/10) of partially compliant and 50% (6/12) of completely compliant participants, as well as in the 1 noncompliant participant. By regression analysis, there were no significant differences within or between groups for the overall score at either time point. Only the functional domain score demonstrated a significant improvement over baseline for the fully compliant group at 60 days (change -0.38, p=0.030); LSIDS-A overall scores were improved at 60-days for 77.8% (7/9) of the partially compliant participants and 91.7% (11/12) of the completely compliant participants. By regression analysis, the change from baseline to 60-day follow-up for the fully compliant group was statistically significant for the soft tissue sensation (-1.6, p=0.037), neurological sensation (-1.8, p=0.013), and overall domains (-1.0, p=0.021); SF-36 questionnaire: no statistically significant differences in any domains within or between compliance groups for either follow-up time point.",,,,,,,,,,,,,,,
33024268,,,patients with human epidermal growth factor receptor-2 (HER2)-positive early breast cancer,all patients enrolled in the TRIBE and TRIBE2 studies that progressed to upfront FOLFOXIRI/bev.,1187,586,601,FOLFOXIRI/bev,surgery,,,,5-fluorouracil plus bev,FOLFOXIRI/bev,,study drug-related cardiac disorders (CT-P6: 22 [8.1%] patients, trastuzumab: 24 [8.6%] patients [overall]) and decreases in left ventricular ejection fraction,,pathological complete response,immunogenicity was similar between groups,,,,,,,,,,,,,,,
33023785,68 years (interquartile range: 57 to 75),"50.6% male, 49.4% female",patients with bone metastases from either metastatic breast cancer or castration-resistant prostate cancer,"Eastern Cooperative Oncology Group performance status 0–2, estimated life expectancy of >12 months and able to provide verbal consent; exclusion criteria included history of or current evidence of osteonecrosis of the jaw (ONJ), or planned radiotherapy or surgery to the bone within 4 weeks of randomisation",250 patients,125,125,fixed-dose combination of pertuzumab and trastuzumab for subcutaneous injection (PH FDC SC),chemotherapy + surgery,C30 Physical Subdomain,calcium and vitamin D as per guidelines,,"BTA (denosumab, pamidronate, zoledronate)",BTAs,72.4% SSE-free survival at 12 weeks,serious AE rates were low,patient preference, satisfaction with SC injection vs IV infusion,"1-year cumulative incidence rate, SSE-free survival","lost to follow-up (3), withdrawal or refusal (5)",,,,,,,,,,,,,,,
33002305,,,stage II/III HER2-negative breast cancer,undergone resection of primary CRC with a prospect of cure and had pulmonary metastasis confirmed at a multidisciplinary team meeting, no clinical indications of active CRC other than the known lung metastases, prior liver resection for metastases did not preclude entry to the trial.,93,45,46,,Pulmonary Metastasectomy,,,,,"no metastasectomy, no radiotherapy, no image guided thermal ablation",14,immune-related grade 3 adverse events,self-reported health state on a 1–100 scale with median and interquartile range,pathologic complete response (pCR) rates,,,,,,,,,,,,,,,
32996842,7 to 17 years,any gender,advanced cancer (relapsed or refractory),"(1) child aged 7-17, primary parent caregiver; (2) child has advanced cancer as per parent self-report; (3) both child and parent able to speak, understand, read, type English; (4) internet access; (5) no cognitive impairment for parents",150 child-parent dyads,75,75,nivolumab with bevacizumab and cytotoxic chemotherapy,,,digital storyboard creation,,,usual care,,treatment-related adverse events of grade 3 or 4,,progression-free survival (PFS) assessed by an independent radiology review committee (IRRC),no statistically significant difference in demographic or clinical characteristics between intervention and control groups,,,,,,,,,,,,,,,,
32994466,?18 years,,"recurrent epithelial ovarian cancer, endometrioid carcinoma, clear cell carcinoma","?18 years, recurrent disease, measurable or non-measurable based on RECIST version 1.1 or GCIG criteria, ECOG performance status ?2, life expectancy >3 months, normal hepatic, renal and bone marrow function; excluded: active bacterial infection requiring IV antibiotics, brain metastasis, synchronous/metachronous malignancies other than epithelial ovarian cancer (except basal cell carcinoma of the skin or carcinoma in situ of the cervix), prior anti-cancer treatment within 4 weeks",530 patients (266 to CSC and 264 to SC),266,264,topotecan 0.25 mg/m2/day,D2 gastrectomy,,,,additional chemotherapy,topotecan,"57.1% (4/7) for topotecan group, 0% (0/10) for belotecan group","grade 5 adverse events (febrile neutropenia and dyspnea) occurred during neoadjuvant treatment; grade 3 or 4 neutropenia and anaemia were observed commonly in both groups, with no differences between them; grade 3 diarrhoea and ileus were relatively common in both groups, again with no differences",,OS: belotecan improved OS despite no difference in PFS between the two groups in either ITT or PP populations,,,,,,,,,,,,,,,,,
38102496,"63 years (range, 41–80 years)",61% female,head and neck cancer (HNC) survivors with clinically significant body image disturbance (BID),"completed treatment 6 weeks to 12 months prior, able to read and write English, no severe psychiatric comorbidity",44 patients,BRIGHT,AC (active control),dexmedetomidine, metoprolol, butorphanol,,,AC intervention,BRIGHT (CBT),combination dexmedetomidine + butorphanol,"attention control (AC), tele-supportive care intervention consisting of educational videos addressing non-body image aspects of HNC survivorship",,postoperative pulmonary complications on postoperative days 1 and 3, postoperative nausea and vomiting,"15-item Recovery Quality Score (QoR-15) scores, IMAGE-HN score: 43 (SD 18), Body Image Scale score: 17 (SD 6)",,postoperative inflammatory marker levels,,,,,,,,,,,,,
38098261,18 years or older, subgroup of Japanese patients with 66.7% vs. 57.1% ? 65 years old,male/female,resectable stage IB (? 4 cm) to IIIA NSCLC,treatment-naive, ECOG PS of 0 or 1, no known sensitizing EGFR mutations or ALK translocations,n = 67 (33 in nivolumab plus chemotherapy arm and 34 in chemotherapy alone arm),nivolumab 360 mg plus platinum-doublet chemotherapy,platinum-doublet chemotherapy alone,nivolumab,definitive surgery,,"Mediterranean/macrobiotic diet, combined with moderate physical activity",,chemotherapy,chemotherapy alone,'recommended food score' together with WC mediated 73 % of the effect of the intervention on glycemia,5,,"pCR rate: 30.3% vs 5.7%, MPR rate: 39.4% vs 11.4%, depth of pathological response in primary tumor, ORR: 60.6% vs 34.3%, radiographic downstaging following neoadjuvant therapy: 42.4% vs 22.9%, EFS2 HR 0.43, TTDM HR 0.63","surgery cancellation due to disease progression (4 vs 1) and other reasons (1 vs 0), delayed surgeries due to AEs (4 vs 1) and other reasons (0 vs 1), median duration of surgery (207.0 vs 261.0) min, minimally invasive approaches more common with nivolumab plus chemotherapy (9 vs 4) patients, fewer pneumonectomies performed (2 vs 4) patients, R0 resection (no residual tumor) in 27 (87.1%) vs 24 (82.8%) patients",,,,,,,,,,,,,
38097783,,,Patients with prostate cancer (PCa),,312,155,157,azilsartan, amlodipine,,,,,,Bevacizumab (Bev),0.001,,,"BP changes, achievement of target BP (<140/90 mmHg), PCa clinical outcome, RS, clinicopathology, TMB, immunotherapy outcomes, Kaplan–Meier survival curves","AUC values for training cohort at 1, 3, and 5 years: 0.740, 0.818, 0.875; AUC values for internal testing cohort at 1 year: 0.689, at 3 years: 0.710, at 5 years: 0.834; AUC values for entire cohort at 1, 3, and 5 years: 0.715, 0.771, 0.843",,,,,,,,,,,,,,,
38091040,adult survivors,149 [50.9%] male,survivors of childhood cancer with elevated risk for future cardiovascular disease,enrolled in a randomized trial to promote control of cardiac risk factors, excluded participants with history of known ischemic heart disease or heart failure at enrollment and those unable/unwilling to sign HIPAA waiver granting release of medical records,278 participants,139,139,,radiation therapy,,personalized survivorship care plan (SCP),,,usual care,,,,patient perceptions of care coordination and satisfaction with received information,"frequency of treatment exposures or risks documented in medical records (radiation therapy: 35.2%, anthracycline chemotherapy: 9.2%), need for late-effects surveillance: 32.4%, SCPs referenced: 4.8%",,,,,,,,,,,,,,,
38087245,40-86 years,,hypertensive patients scheduled for breast cancer surgery under general anesthesia,(1) body mass index of 18-30 kg/m2, (2) American Society of Anesthesiologists physical status I-III. Exclusion criteria: (1) allergy to drugs used in this study, (2) baseline blood pressure > 180/110 mmHg, (3) breast-conservation patients, (4) use of benzodiazepines or opioids within 1 month, (5) craniocerebral injury and intracranial hypertension, (6) history of mental illness, and (7) contraindications to remimazolam use,120,58,62,remimazolam,breast cancer surgery under general anesthesia,,,,propofol,hypertensive patients receiving propofol anesthesia,,"incidence of nausea and vomiting, blood pressure fluctuation",QoR-40 scores on postoperative day 1,"minimum MAP during induction and maintenance of anesthesia, lowest MAP in PACU, alpha diversity; beta diversity",,,,,,,,,,
32994107,not specified,mixed (male emphasis),hereditary breast and ovarian cancer (HBOC) with overemphasis on prostate cancer,having a valid email address,454 participants,"sequential group presented with 5-gene test option, then given choice to upgrade to 15-gene test based on information preference",no testing group,enzalutamide,,,,,,non-directive counseling,,,,,93% (n=437) agreed or strongly agreed with understanding the medical scenario and genetic testing choice,,,,,,,,,,,,,,,,
32969563,,,patients with HER2-positive metastatic breast cancer (MBC),"multicenter; Eastern Cooperative Oncology Group performance status 0–2, adequate bone marrow/organ function; exclusion: tumour invading major blood vessels, brain metastases/epidural disease, clinically significant bleeding within 3 months, previous chemotherapy for mCRPC and progression of metastatic castration-sensitive prostate cancer on docetaxel",32,22,10,docetaxel/prednisone,,,,,cabozantinib with 20-mg increments,docetaxel/prednisone,,,,,"PK characteristics, within-patient increases in docetaxel Cmax and area under the curve (AUC) in the presence of cabozantanib, mean change <20%, increasing age significantly associated with decreasing clearance",,,,,,,,,,,,,,,,
32958699,not specified,not specified,stage IV CRC patients,"only two variant homozygotes, and 23 heterozygotes",289,0,0,CT99021,,PRT,swallowing exercises,,bevacizumab,Chr8q24 region previously shown to have no activity,"OS; AA: median not yet reached (95% CI 36.5 to not yet reached), AG: median 22.7 months (95% CI 13.4 to 44.4), GG: median 9.7 months (95% CI 5.1 to not yet reached); p-value=1.37x10^-7, HR=0.59, 95% CI 0.49-0.72 for left-sided tumors vs right/transverse-sided tumors; rs11644916 and rs11648673 associated with worse OS (p-values=1.80x10^-4 and 3.28x10^-3 respectively), HRs=1.32 and 1.25, 95% CIs 1.14-1.53 and 1.08-1.46",,mouth opening, QoL,,,,,,,,,,,,,,,,,
32936981,54 years,female,"high-risk breast cancer (BC) patients; self-identified Hispanic/Latina, Spanish-speaking, GC/GT-naive, eligible for genetics referral based on 2017 NCCN Guidelines","1) self-identified Hispanic/Latina; 2) age ?45; 3) Spanish-speaking; 4) able to provide informed consent; 5) GC/GT-naive; 6) eligible for genetics referral based on 2017 NCCN Guidelines; 7) at MCC, having a healthcare provider (HCP) to receive GT results",52,26,26,veliparib added to carboplatin-paclitaxel,,,culturally and linguistically targeted educational booklet about GC/GT for Latina BC survivors,Hospital Anxiety and Depression Scale (HADS),genetic counseling (GC) and genetic testing (GT),usual care,,,,Stage 0-II breast cancer diagnosis,"percentage of participants receiving surgery (94% intervention group, 54% control group), chemotherapy (79% intervention group, 54% control group), and radiation (58%); percentage currently taking hormonal therapy (33%); GC completion rate: 65% in intervention group, 15% in control group; GT completion rate: 94% in intervention group, 100% in control group; negative GT results: 56% in intervention group, 50% in control group; GT identified variants for 44% in intervention group (6 uncertain significance, 1 pathogenic), 50% in control group (both uncertain significance); additional data: 7 participants from the Ponce control group completed both GC and GT after study period, representing 54% of those randomized to control group at Ponce; when accounting for participants who had completed GC/GT during study period (n=4), 78% of remaining untested control group participants from Ponce completed GC/GT after end of study",,,,,,,,,,,,,,,,
32929540,,,patients with Stage I-III breast cancer,"patients who had undergone surgery and were receiving adjuvant systemic therapy, excluding those planning oral surgery",6097,"zoledronic acid 4mg IV monthly for 6 months, then every 3 months",clodronate 1600mg by mouth daily or ibandronate 50mg by mouth daily for three years,"zoledronic acid (4mg IV monthly for 6 months, then every 3 months) or clodronate (1600mg by mouth daily) or ibandronate (50mg by mouth daily)",surgery,,"baseline Dental Examination Form with visual inspection, periodontal probing, and evaluation of BRONJ risk factors; recommended X-rays for assessing periodontal involvement and endodontic problems; dental health measures collected including plaque levels, calculus, gingivitis, periodontitis, overall dental disease, presence of dentures, and number of teeth with deep caries, failing root canals, fractures/restorations, or endodontic treatment",,neoadjuvant treatment,clodronate 1600mg by mouth daily,,"35.1% (provoked BRONJ), 24.6% (periodontal disease), 10.5% (denture trauma), 3.5% (other dental surgery)",,BRONJ,"no difference in the amount of dental disease or bisphosphonate type between provoked and spontaneous BRONJ, infection presence: 48.1% (provoked), 38.9% (spontaneous)",,,,,,,,,,,,,,,,
38087207,?18 years,,Patients with locally advanced rectal cancer (LARC),"(1) histologically confirmed rectal adenocarcinoma; (2) stage cT3-4N0M0 or cTxN + M0 (AJCC 8th) confirmed by MRI; (3) standard concurrent neoadjuvant chemoradiotherapy followed by TME; (4) available KRAS mutation status; (5) available MRI images (T2-weighted imaging, T2WI) before neoadjuvant therapy with sufficient image quality; (6) age ? 18 years; and (7) Eastern Cooperative Oncology Group (ECOG) score < 2.",103,73,30,capecitabine,TME,,Acceptance and Commitment-Based Therapy Program (ACBTP),,,routine care,,lung metastasis,fear of cancer recurrence (FCR),"HR 3.225, 95% CI 1.249, 8.323, p = 0.016; HR 3.565, 95% CI 1.337, 9.505, p = 0.011",,,,,,,,,,,,,,,,,
38070928,postmenopausal,not specified,breast cancer patients reporting arthralgia during treatment with aromatase inhibitors (AIs),"patients followed for breast cancer and reporting arthralgia during treatment with AIs, verification of inclusion criteria: postmenopausal, histologically proven breast cancer, treated with adjuvant AIs (letrozole, anastrozole or exemestane) for at least 6 months, arthralgia affecting one or more joints that appeared or were exacerbated after AI start, BPI-SF score ?3, stable analgesic treatment for at least 15 days; exclusion criteria: current infection, inflammatory, neurological or metabolic arthropathy, fracture or surgery of painful extremity in the last 6 months, concomitant use of corticosteroids, cryotherapy treatment within 6 months before study inclusion, cardiovascular disease (uncontrolled hypertension, coronary artery disease, history of myocardial infarction, history of heart rhythm disorder, valvular heart disease, pacemaker, previous venous thromboembolic event and arterial disease stages 3–4), hypothyroidism, severe Raynaud’s syndrome, cryoglobulinaemia, chronic respiratory insufficiency, polyneuropathy, acute renal or urinary pathology, epilepsy, alcohol and/or drug abuse, impaired wound healing, known allergy to cold, claustrophobia, hyperhidrosis, inclusion in another interventional clinical trial.",70,28,42,placebo,,cryotherapy (-85°C for 1 minute),,,,cryotherapy placebo,,,,,,,,,,,,,,,,,,,,,
38065853,18-85 years,"mixed (80 women, 56 men in control group; 28 women, 60 men in intervention group)",liver cancer,"(1) age 18-85; (2) confirmed liver cancer by abdominal ultrasound, enhanced CT scan, and liver biopsy; (3) fit for surgery; (4) no preoperative vital organ dysfunction; (5) absence of infectious comorbidities; (6) informed consent provided; (7) Child-Pugh grading A to B",168,88,80,oral nutritional supplements (ONS),perioperative intervention,,dietary education,,enteral nutrition interventions,routine care,prevalence of UI on the International Consultation on Incontinence Questionnaire - Urinary Incontinence Short Form (ICIQ-UI-SF),total ICIQ-UI-SF score,pelvic pain,self-esteem,,,,,,,,,,,,,,,,,
38062421,18-80 years,,rectosigmoid cancer,"patients with rectosigmoid cancer, cT1-4aN0-2M0 lesions, tumors sized 5 cm or less and located in the rectosigmoid (defined as 10 to 30 cm from the anal verge), excluded: complications requiring emergency operations, malignant disease within 5 years, BMI > 30 kg/m2, pregnant, previous abdominal surgery",185 patients,84 in SILS + 1 group,92 in CLS group,methylene blue,"CLS procedure with 5 trocars placed in regular position, specimen extraction through extended umbilical incision, conversion to laparoscopic surgery if minilaparotomy exceeds 10 cm; multiport surgery if surgeon's discretion; mandatory intraoperative photographs for quality control including high ligation in the root of inferior mesenteric artery and vein, complete mesocolic excision macroscopic quality, and proximal and distal margin lengths over 5 cm",,,,conversion to multiport surgery if surgeon's discretion,yes,"Cancer-related deaths were found in 10 (10.9%) patients in SILS + 1 group and 15 (16.1%) patients in CLS group, likewise, with no significant difference (P = 0.295)",lymphatic leakage rate (PLLR),,metastasis positive rate (PROLM),,,,,,,,,,,,,,,,,
38060453,79(6.5) years,"male: 17 (47%); female: 19 (53%) with an imbalance between groups regarding sex (P = 0.043), intervention group having more males (11 out of 16)","colonic cancers (32, 89%)","patients planned for elective surgery with curative intent; WHO performance status I or II; exclusion criteria: inability to understand Danish, chronic renal failure (creatinine ? 150 ?mol/l), inability to perform baseline tests or training on a stationary exercise bike, severe cognitive impairment (Mini-Mental State Examination ? 11), planned for abdominal perineal resection, subacute surgery, neoadjuvant therapy, metachronous cancer, or withdrawal of consent",36 patients,16,20,"TMP-90 Shake® (Friesland Campina, Netherlands)",abdominal perineal resection,individualized physical training with high-intensity interval training (HIIT) and resistance training,patient education,,"nutritional intervention with supplements and consultation with a dietician, medical optimization through an expanded medical check-up, including evaluation of baseline tests, bloodwork, referral to alcohol and smoking cessation, possible drug discontinuation or dose reduction using the Danish health authority’s guidelines",0.25,,serious adverse event,QoR-15 score,difference in recovery measured by QoR-15 score during first 3 postoperative days,"postoperative complications (n = 9, 25%); exhaustion due to concomitant adjuvant chemotherapy (n = 2, 6%); one patient did not show up for the planned testing session; seven patients had their postoperative testing sessions cancelled (19%) due to COVID-19 pandemic",,,,,,,,,,,,,,,,
32918131,39-79 years,"34 female, 17 male",NSCLC patients with EGFR mutation,"EGFR-mutant NSCLC, age 39 to 79 years, ECOG PS 0-1, adequate organ function","51 patients (initial), 15 patients (second registration)","30 patients received afatinib, 21 patients received erlotinib in the first registration; 9 patients assigned to WEAK group and 6 patients to DOWN group in the second registration",60 patients received EGFR-TKI (erlotinib or afatinib) with prophylactic treatment of minocycline and heparinoid moisturizer in DOWN group,EGFR-TKI,,,vaginal dilators (29),,,WEAK group,,"non-facial acneiform rash (n=14); pruritus (n=8); paronychia (n=5); dry skin (n=3); diarrhea (grade 3, n=2); increase in alanine aminotransferase (grade 2, n=2); stomatitis (grade 3, n=1); pneumonitis (grade 1, n=1)",incidence and severity of vaginal stenosis after radiotherapy,CTCAE scale,,,,,,,,,,,,,,,,,
32916236,37-85 years,"95 men, 83 women","locally advanced NSCLC, stage IIA to IIIB disease, stage IV disease with a single brain metastasis, recurrent tumor after surgical resection that could be treated definitively with concurrent chemoradiation",Karnofsky performance score of ?70,178,64 received induction chemotherapy,all patients received concurrent chemoradiation,trilaciclib,,,,,,placebo,,all-cause chemotherapy dose reductions, febrile neutropenia (FN), prolonged severe neutropenia (SN), red blood cell (RBC) transfusions on/after Week 5, all-cause hospitalisations,,,myeloprotective benefits,,,,,,,,,,,,
32914237,?18 years,mixed,unresectable adenocarcinoma of the pancreas,"histologically confirmed, no distant metastasis, ECOG performance status ?2, completed at least two-thirds of planned induction chemotherapy",180,25,87,oxaliplatin,surgery,chemoradiotherapy,,,FOLFIRINOX regimen,chemotherapy alone,30.0%,13.8%,Disease-free survival (DFS) was 11.2 months in the overall population compared to 16.6 months in the R0 resection group,"objective response rate (ORR) by RECIST 1.1, prognosis of patients with R0 resection significantly better than nonoperated patients or patients in exploration or R1/R2/Rx resection group","median tumor-free survival rate at 24-month follow-up: 28.0% in the R0 resection group, 10.0% in the nonoperated group; proportion of borderline resectable (=R0 questionable) decisions increased from 24.8% (28/113 decisions) before treatment to 46.6% (27/58 decisions) after treatment (p = 0.032)",,,,,,,,,,,,,,,,
